w_geocode,h_geocode,S000,SA01,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,SA02,origin_lon,origin_lat,dest_lon,dest_lat
170318391001089,170312838002006,7,0,3,3,0,4,0,0,7,20190825,4.0,-87.63009501,41.879755200000005,-87.65250506,41.86138328
170318391001089,170312838002007,5,1,0,0,0,5,0,0,5,20190825,4.0,-87.63009501,41.879755200000005,-87.65531786,41.86138406
170318391001089,170312922001004,7,0,0,0,5,2,0,0,7,20190825,7.0,-87.63009501,41.879755200000005,-87.71305117,41.85808335
170318391001089,170312922002007,4,0,2,0,2,2,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.71603747,41.85595348
170318391001089,170312922003007,4,1,0,0,2,2,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.71790135,41.85609144
170318391001089,170312922003009,4,0,0,0,3,1,0,0,4,20190825,4.0,-87.63009501,41.879755200000005,-87.71963754,41.85428915
170318391001089,170312925001015,6,1,1,1,0,5,0,0,6,20190825,4.0,-87.63009501,41.879755200000005,-87.72851727,41.85598294
170318391001089,170312925002003,4,0,2,0,2,2,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.72727396,41.85460451
170318391001089,170313009002005,5,1,1,0,1,4,0,0,5,20190825,3.0,-87.63009501,41.879755200000005,-87.70307619,41.85065741
170318391001089,170313009002008,4,1,0,0,2,2,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.70425161,41.849056
170318391001089,170313011002005,4,2,0,0,2,2,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.69680455,41.84577114
170318391001089,170313012001003,5,2,0,0,2,3,0,0,5,20190825,3.0,-87.63009501,41.879755200000005,-87.69175076,41.85126057
170318391001089,170313012001006,4,0,3,1,3,0,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.69510269,41.85053677
170318391001089,170313012001008,4,1,1,0,3,1,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.69173592,41.85080906
170318391001089,170313012003009,4,0,2,0,3,1,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.69412533,41.84850695
170318391001089,170313017012005,4,0,2,0,3,1,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.71807459,41.84158446
170318391001089,170313017022009,4,1,1,0,0,4,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.72223916,41.83783875
170318391001089,170313018033007,4,0,1,1,1,2,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.7312421,41.83759306
170318391001089,170313102001001,4,1,1,1,1,2,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.64337024,41.85898777
170318391001089,170313103001032,6,0,1,0,2,4,0,0,6,20190825,5.0,-87.63009501,41.879755200000005,-87.65066668,41.85458909
170318391001089,170313104001000,4,1,2,0,2,2,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.65169412,41.85892445
170318391001089,170313104001006,4,2,1,0,0,4,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.65238316,41.85767063
170318391001089,170313106001001,4,2,1,0,2,2,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.65545031,41.85943642
170318391001089,170313106001016,4,2,0,0,2,2,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.66281118,41.85807737
170318391001089,170313106002013,4,1,1,0,0,4,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.66348112,41.85692466
170318391001089,170313108003008,4,1,0,0,0,4,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.6702515,41.85482809
170318391001089,170313108003015,4,0,1,0,2,2,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.66725351,41.85277823
170318391001089,170313109001006,6,1,0,1,2,3,0,0,6,20190825,5.0,-87.63009501,41.879755200000005,-87.67234137,41.85839457
170318391001089,170313109001007,4,3,0,2,0,2,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.67232924,41.85793705
170318391001089,170313109002004,4,1,0,0,2,2,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.67218476,41.85291497
170318391001089,170313109003007,5,4,0,1,1,3,0,0,5,20190825,1.0,-87.63009501,41.879755200000005,-87.67717988,41.85604589
170318391001089,170313109003011,4,1,0,1,0,3,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.67712609,41.85422623
170318391001089,170313109003013,4,0,1,1,1,2,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.67710168,41.85330799
170318391001089,170313201001005,4,1,1,1,0,3,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.61917955,41.88442571
170318391001089,170313201001009,9,3,3,1,1,7,0,0,9,20190825,3.0,-87.63009501,41.879755200000005,-87.61658772,41.88448031
170318391001089,170313201002029,5,0,1,0,1,4,0,0,5,20190825,4.0,-87.63009501,41.879755200000005,-87.62419287,41.88511276
