GEOID,X,Y
1.70E+14,-87.75929777,41.90673979
1.70E+14,-87.79821808,41.91171068
1.70E+14,-87.77705296,41.90948649
1.70E+14,-87.79146104,41.91021825
1.70E+14,-87.78385868,41.93079981
1.70E+14,-87.78730763,41.93372449
1.70E+14,-87.77742903,41.92112951
1.70E+14,-87.78408947,41.96138056
1.70E+14,-87.77925816,41.96343175
1.70E+14,-87.79091668,41.93896366
1.70E+14,-87.76686234,41.95820382
1.70E+14,-87.75834228,41.95211227
1.70E+14,-87.76974302,41.93579374
1.70E+14,-87.7688864,41.91163019
1.70E+14,-87.80753954,42.01282782
1.70E+14,-87.76812148,41.97834358
1.70E+14,-87.76007922,41.97063034
1.70E+14,-87.7848907,41.98905647
1.70E+14,-87.79280478,41.9336522
1.70E+14,-87.77611775,41.9225725
1.70E+14,-87.77805348,41.92996671
1.70E+14,-87.78144191,41.93126182
1.70E+14,-87.7827816,41.97303643
1.70E+14,-87.78031764,41.95825578
1.70E+14,-87.79535773,41.93703561
1.70E+14,-87.66706457,41.95340443
1.70E+14,-87.77542969,41.94965233
1.70E+14,-87.78619967,41.93717224
1.70E+14,-87.79608886,41.97937271
1.70E+14,-87.79601884,41.97774532
1.70E+14,-87.80549723,41.99656383
1.70E+14,-87.81257966,41.99978365
1.70E+14,-87.80019503,41.99266981
1.70E+14,-87.77089458,41.9339521
1.70E+14,-87.75260276,41.92805456
1.70E+14,-87.75245997,41.9127427
1.70E+14,-87.75630016,41.90972495
1.70E+14,-87.75455297,41.91203507
1.70E+14,-87.75580679,41.94943416
1.70E+14,-87.76100021,41.95804662
1.70E+14,-87.75588564,41.95214185
1.70E+14,-87.7804749,41.98153714
1.70E+14,-87.79522438,41.91357026
1.70E+14,-87.77988065,41.91193831
1.70E+14,-87.78380081,41.91209446
1.70E+14,-87.79334502,41.91176797
1.70E+14,-87.72384959,41.7847828
1.70E+14,-87.79090431,41.91179542
1.70E+14,-87.75754425,41.91954477
1.70E+14,-87.76156625,41.91216892
1.70E+14,-87.76488331,41.90667203
1.70E+14,-87.77575457,41.93388256
1.70E+14,-87.77159446,41.9277748
1.70E+14,-87.76889244,41.96279273
1.70E+14,-87.76370919,41.96484395
1.70E+14,-87.77417994,41.95765023
1.70E+14,-87.76884499,41.95341198
1.70E+14,-87.76544116,41.95247917
1.70E+14,-87.80077068,42.00057481
1.70E+14,-87.73006338,41.90509503
1.70E+14,-87.73067679,41.90553537
1.70E+14,-87.7331681,41.90908352
1.70E+14,-87.74098694,41.95059738
1.70E+14,-87.73981856,41.98717579
1.70E+14,-87.72936435,41.9835658
1.70E+14,-87.73330932,41.98391096
1.70E+14,-87.73373122,41.95814434
1.70E+14,-87.73526983,41.95995132
1.70E+14,-87.74121472,41.98152772
1.70E+14,-87.72536381,41.97054838
1.70E+14,-87.73396471,41.97090821
1.70E+14,-87.71886129,41.97358037
1.70E+14,-87.71626525,41.97403124
1.70E+14,-87.73198709,41.9508851
1.70E+14,-87.73345888,41.94903881
1.70E+14,-87.72849573,41.95637975
1.70E+14,-87.73498638,41.96367276
1.70E+14,-87.73340544,41.96257278
1.70E+14,-87.74760114,41.97038075
1.70E+14,-87.74671285,41.97440107
1.70E+14,-87.74114743,41.95376196
1.70E+14,-87.68612125,41.91417792
1.70E+14,-87.7375098,41.95519546
1.70E+14,-87.73477962,41.9544062
1.70E+14,-87.73905969,41.95997157
1.70E+14,-87.73915354,41.96173119
1.70E+14,-87.74221589,41.96908215
1.70E+14,-87.72391616,41.89446641
1.70E+14,-87.7270859,41.89809766
1.70E+14,-87.72955033,41.89805522
1.70E+14,-87.72862562,41.9085971
1.70E+14,-87.72708187,41.90959721
1.70E+14,-87.61104443,41.84363261
1.70E+14,-87.66554032,41.92836501
1.70E+14,-87.65772339,41.92144347
1.70E+14,-87.65651237,41.92146334
1.70E+14,-87.66540351,41.94225316
1.70E+14,-87.67336314,41.94808104
1.70E+14,-87.68288749,41.8862208
1.70E+14,-87.68057122,41.89055176
1.70E+14,-87.68792287,41.91396882
1.70E+14,-87.68188638,41.90649961
1.70E+14,-87.71692889,41.93349692
1.70E+14,-87.71842053,41.93212505
1.70E+14,-87.71924251,41.93943179
1.70E+14,-87.71945217,41.93805071
1.70E+14,-87.71808376,41.92024359
1.70E+14,-87.71803058,41.9184115
1.70E+14,-87.70815578,41.94639044
1.70E+14,-87.62531179,41.91437267
1.70E+14,-87.62504852,41.9050923
1.70E+14,-87.61545427,41.89509275
1.70E+14,-87.6746156,42.02277214
1.70E+14,-87.66739911,42.01843583
1.70E+14,-87.67028095,41.89165712
1.70E+14,-87.72446134,41.78477863
1.70E+14,-87.68063853,41.91444932
1.70E+14,-87.68368108,41.91564723
1.70E+14,-87.67945907,41.91077397
1.70E+14,-87.6633848,41.91180051
1.70E+14,-87.66163949,41.91311006
1.70E+14,-87.67075177,41.91081404
1.70E+14,-87.66609653,41.91226855
1.70E+14,-87.65002602,41.89528798
1.70E+14,-87.64891934,41.89214439
1.70E+14,-87.64627941,41.88500537
1.70E+14,-87.6309335,41.92206728
1.70E+14,-87.62932685,41.91761764
1.70E+14,-87.62732419,41.90991057
1.70E+14,-87.62654925,41.90934958
1.70E+14,-87.62634123,41.90732237
1.70E+14,-87.63556595,41.9071651
1.70E+14,-87.61293912,41.89095191
1.70E+14,-87.6175544,41.89769903
1.70E+14,-87.67277532,42.02185445
1.70E+14,-87.6710077,42.02026528
1.70E+14,-87.7113639,41.91274911
1.70E+14,-87.69390498,42.01250946
1.70E+14,-87.6901191,41.97723914
1.70E+14,-87.65299383,41.95615267
1.70E+14,-87.64879515,41.95210015
1.70E+14,-87.7119975,41.93530836
1.70E+14,-87.71226964,41.89275128
1.70E+14,-87.71555418,41.90930132
1.70E+14,-87.70929088,41.89889012
1.70E+14,-87.70907629,41.90124345
1.70E+14,-87.69653466,41.93962049
1.70E+14,-87.69556151,41.93483245
