GEOID,X,Y
170310315012002,-87.65211181,41.96848708
170310315023000,-87.65119719,41.96499079
170310315023001,-87.65358661,41.96495593
170310315011003,-87.65327801,41.96616948
170310315012002,-87.65211181,41.96848708
170310315013002,-87.65228797,41.96678466
170310315013003,-87.65305137,41.9657399
170310315021007,-87.65355445,41.96247314
170310315022005,-87.65148015,41.96387265
170310315023000,-87.65119719,41.96499079
170310315023001,-87.65358661,41.96495593
170310209011013,-87.68555152,41.99621172
170310306013002,-87.65570781,41.98872429
170310313001007,-87.65170977,41.97391111
170310402011015,-87.68939145,41.97182207
170310402021003,-87.69544919,41.98279265
170310403002007,-87.70374807,41.97658489
170310404014000,-87.68265737,41.97143466
170311302001019,-87.73339529,41.97930147
170311303001006,-87.71104613,41.98440513
170312506004007,-87.77157208,41.90658408
170310321004000,-87.65128244,41.95785788
170310507001013,-87.6737646,41.94417932
170310633022000,-87.64044719,41.93489356
170310701023000,-87.64252304,41.93134601
170310608001000,-87.64861955,41.95355732
170310608001000,-87.64861955,41.95355732
170310608001000,-87.64861955,41.95355732
170310609004001,-87.64420095,41.94904021
170310306013002,-87.65570781,41.98872429
170310321003005,-87.65503776,41.95618976
170310609004000,-87.64532402,41.94924097
170310609004002,-87.64359549,41.94804473
170310609004005,-87.64367903,41.94689357
170310619014002,-87.64310319,41.94061118
170310630001001,-87.65070447,41.93941131
170310630001004,-87.65240697,41.93875979
170310630001006,-87.65158978,41.93767953
170310630001007,-87.65227658,41.93833473
170310630002002,-87.65241002,41.93470872
170310630002005,-87.65179468,41.9340336
170310630002009,-87.65056441,41.9333722
170310630003007,-87.65241768,41.93516585
170310634001002,-87.64724107,41.93424751
170310715003011,-87.63620882,41.91744109
170310804001010,-87.63906850000002,41.90690926
170312604001032,-87.73677649,41.88290254
170310706001007,-87.66469644,41.93038568
170310714002005,-87.63687169,41.92111609
170310813001001,-87.62100719,41.89818437
170310814022001,-87.61612275,41.89305283
170313201004007,-87.61568649,41.88671992
170310715002000,-87.63408011,41.91378596
170310715003011,-87.63620882,41.91744109
170310802011002,-87.63222856,41.9089
170310802012003,-87.63127828,41.91031868
170310634001002,-87.64724107,41.93424751
170310803002002,-87.63590071,41.90472175
170310810002005,-87.63166528,41.89861333
170310810002007,-87.63055641,41.89836072
170310810004002,-87.63341787,41.90262874
170310810005003,-87.63356343,41.89858018
170310810005005,-87.63233055,41.89728825
170310810006004,-87.63031,41.90250343
170310814022001,-87.61612275,41.89305283
170310314001001,-87.64831341,41.96015139
170310631001001,-87.64596373,41.93723375
170310715003011,-87.63620882,41.91744109
170310815001004,-87.62744637,41.89368268
170310301021002,-87.6550225,41.99302645
170310313001007,-87.65170977,41.97391111
170310608003000,-87.64589657,41.95423583
170310801003000,-87.62634123,41.90732237
170310812012004,-87.62755870000002,41.89793007
170310812024000,-87.62654474,41.90281676
170310201002001,-87.68581906,42.01698809
170310315021007,-87.65355445,41.96247314
170310608001000,-87.64861955,41.95355732
170310609004000,-87.64532402,41.94924097
170310610001000,-87.6508083,41.95063706
170310619014002,-87.64310319,41.94061118
170310619023012,-87.64110995,41.94378052
170310701013012,-87.64106701,41.93169795
170310715001007,-87.63574704,41.91240958
170310803002000,-87.63377084,41.90480408
170310803004000,-87.63393491,41.90934902
170310810004002,-87.63341787,41.90262874
170310810005003,-87.63356343,41.89858018
170310811003002,-87.62920893,41.90250105
170310812012003,-87.62758565,41.89874069
170310812012004,-87.62755870000002,41.89793007
170310812022000,-87.62567396,41.90188143
170310814031027,-87.61908955,41.88914532
170310815001003,-87.62747013,41.89448409
170310701021001,-87.64194744,41.9295513
