,stop_id,stop_name,stop_lat,stop_lon,starttime,endtime,route_id,route_type
4631,17908,Dodge & Washington,42.03279335,-87.69941536,24298,31282,206,3
4632,17908,Dodge & Washington,42.03279335,-87.69941536,21116,78974,93,3
4633,14363,Dodge & Cleveland,42.03024404,-87.69935238,24341,31329,206,3
4634,14363,Dodge & Cleveland,42.03024404,-87.69935238,21155,79014,93,3
4635,14361,Dodge & Seward,42.02947377,-87.69949104,24363,31354,206,3
4636,14361,Dodge & Seward,42.02947377,-87.69949104,21174,79035,93,3
4637,14357,Dodge & Warren,42.02752259,-87.69948434,24390,31383,206,3
4638,14357,Dodge & Warren,42.02752259,-87.69948434,21198,79061,93,3
4639,13127,Oakton & Dodge,42.02647821,-87.6991306,24414,31409,206,3
4640,14355,Oakton & Darrow,42.02652855,-87.69796247,24434,31432,206,3
4641,14352,Oakton & Florence,42.02652592,-87.69466820000001,24471,31472,206,3
4642,14350,Oakton & Wesley,42.02654457,-87.69240187,24499,31503,206,3
4643,13125,Oakton & Asbury,42.02648577,-87.69016076,24531,31538,206,3
4644,14347,Asbury & Kirk,42.02493611,-87.69013096,24561,31571,206,3
4645,14344,Asbury & Mulford,42.02323887,-87.69022494,24591,31605,206,3
4646,14342,Asbury & Brummel,42.02155715,-87.69018599,24620,31636,206,3
4647,14340,Asbury & Dobson,42.02039986,-87.69026059999999,24640,31658,206,3
4648,3627,Howard & Western,42.01946584,-87.68974434,24665,31685,206,3
4649,3627,Howard & Western,42.01946584,-87.68974434,25090,55496,97,3
4650,3627,Howard & Western,42.01946584,-87.68974434,18671,82800,97,3
4651,3628,Howard & Oakley,42.01944892,-87.68782712,24690,31710,206,3
4652,3628,Howard & Oakley,42.01944892,-87.68782712,25119,54204,97,3
4653,3628,Howard & Oakley,42.01944892,-87.68782712,18696,82828,97,3
4654,12697,Dodge & Emerson,42.05199433,-87.69876658,25165,67945,206,3
4655,12697,Dodge & Emerson,42.05199433,-87.69876658,19650,77370,93,3
4656,13138,Dodge & Simpson,42.05541532,-87.69862475,25249,68029,206,3
4657,14378,Green Bay Rd & Lincoln,42.06205003,-87.69669935,25501,68281,206,3
4658,17568,Dempster & Darrow,42.04109656,-87.69772978,52557,66853,206,3
